text,category,is_scam,urgency_score,threat_level
Part-time Online Job Offer: Earn $300-$800 daily by rating hotels/apps on your phone for 1 hour. No experience required. WhatsApp: +1-424-778-8729,Fake Job Offer,1,0.763,CRITICAL
URGENT: Your Chase account has been suspended due to suspicious activity. Verify immediately at https://bank-security-center.ru to avoid permanent deactivation.,Banking Phishing,1,0.833,CRITICAL
Google Calendar: Standup meeting starts in 10 minutes (10:00 AM - 10:15 AM).,Legitimate Calendar,0,0.288,LOW
Zoom meeting invitation: Weekly Engineering Sync on Thursday at 3:00 PM EST. Join with meeting ID 5877.,Legitimate Work,0,0.167,LOW
Netflix Member Alert: We could not process your latest payment. Update billing details at http://claim-crypto-giveaway.net to avoid service cancellation.,Subscription Phishing,1,0.839,CRITICAL
"WINNER! You have won the Nigeria Mega Millions International Draw of $12,000,000! Call +1-858-977-3165 immediately with code WIN3927 to claim.",Lottery / Prize Fraud,1,0.848,CRITICAL
"Walmart Reward: You have a pending voucher worth $1,000. Complete this short survey at http://claim-crypto-giveaway.net before expiration.",Lottery / Prize Fraud,1,0.92,CRITICAL
Guaranteed 450% return in 48 hours! Join our automated crypto arbitrage pool today. Send 2.21 ETH to 0x184ce8b and start earning.,Crypto Investment Scam,1,0.947,HIGH
Amazon Notification: Your mobile number was selected for an iPhone 15 Pro giveaway. Claim within 10 minutes at https://login-update-online-service.top.,Lottery / Prize Fraud,1,0.764,HIGH
Your order #ORD-379684 has been shipped via FedEx. Expected delivery is Friday by 5:00 PM. Track at official app.,Legitimate E-commerce,0,0.304,LOW
Google Calendar: Standup meeting starts in 10 minutes (10:00 AM - 10:15 AM).,Legitimate Calendar,0,0.3,LOW
"Hi team, please find the quarterly performance slide deck attached for tomorrow's review meeting.",Legitimate Business,0,0.124,LOW
Tesla & Elon Musk 100M Crypto Giveaway! Send 0.1 BTC to receive 0.5 BTC back immediately: http://kyc-urgent-support.info,Crypto Investment Scam,1,0.972,CRITICAL
"Walmart Reward: You have a pending voucher worth $1,000. Complete this short survey at http://claim-crypto-giveaway.net before expiration.",Lottery / Prize Fraud,1,0.872,HIGH
"WINNER! You have won the Singapore Mega Millions International Draw of $6,000,000! Call +1-629-898-5687 immediately with code WIN1760 to claim.",Lottery / Prize Fraud,1,0.763,CRITICAL
Package Delivery Failed: USPS tracking #US45415220P is held at terminal due to unpaid duty fees of $2.30. Pay at http://claim-crypto-giveaway.net.,Delivery Phishing,1,0.846,CRITICAL
Thanks for reaching out to customer support. Your ticket #93610 has been resolved. Please rate our service.,Legitimate Support,0,0.349,LOW
"Hey, are we still meeting for lunch at the cafeteria around 1:00 PM today?",Legitimate Personal,0,0.294,LOW
Amazon Notification: Your mobile number was selected for an iPhone 15 Pro giveaway. Claim within 10 minutes at http://claim-crypto-giveaway.net.,Lottery / Prize Fraud,1,0.902,CRITICAL
Zoom meeting invitation: Weekly Engineering Sync on Thursday at 3:00 PM EST. Join with meeting ID 8646.,Legitimate Work,0,0.052,LOW
Your order #ORD-555719 has been shipped via FedEx. Expected delivery is Friday by 5:00 PM. Track at official app.,Legitimate E-commerce,0,0.245,LOW
Payment received: You paid $42.50 at Trader Joe's using Apple Pay on Aug 25.,Legitimate Transaction,0,0.09,LOW
Payment received: You paid $42.50 at Trader Joe's using Apple Pay on Aug 25.,Legitimate Transaction,0,0.156,LOW
"Hi team, please find the quarterly performance slide deck attached for tomorrow's review meeting.",Legitimate Business,0,0.263,LOW
"Hey, are we still meeting for lunch at the cafeteria around 1:00 PM today?",Legitimate Personal,0,0.264,LOW
Payment received: You paid $42.50 at Trader Joe's using Apple Pay on Aug 25.,Legitimate Transaction,0,0.283,LOW
"Reminder: Your dentist appointment with Dr. Smith is scheduled for tomorrow at 2:30 PM. Reply 1 to confirm, 2 to reschedule.",Legitimate Service,0,0.07,LOW
Package Delivery Failed: USPS tracking #US40201736P is held at terminal due to unpaid duty fees of $2.30. Pay at http://usps-delivery-portal.cc.,Delivery Phishing,1,0.852,HIGH
Tesla & Elon Musk 100M Crypto Giveaway! Send 0.1 BTC to receive 0.5 BTC back immediately: https://login-update-online-service.top,Crypto Investment Scam,1,0.855,CRITICAL
Here is the updated recipe for the chocolate cake we discussed last weekend. Let me know if you need vanilla extract.,Legitimate Personal,0,0.163,LOW
Your monthly bank statement for account ending in 8249 is now ready to view in the official mobile banking app.,Legitimate Banking,0,0.26,LOW
Your verification code for Microsoft is 256536. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.235,LOW
"ALERT: An unauthorized transaction of $2478 was attempted on your account. If this was not you, cancel it now at http://usps-delivery-portal.cc.",Banking Phishing,1,0.919,HIGH
Your order #ORD-450474 has been shipped via FedEx. Expected delivery is Friday by 5:00 PM. Track at official app.,Legitimate E-commerce,0,0.263,LOW
"Reminder: Your dentist appointment with Dr. Smith is scheduled for tomorrow at 2:30 PM. Reply 1 to confirm, 2 to reschedule.",Legitimate Service,0,0.314,LOW
Wells Fargo Security: Unusual login from Singapore. Confirm your identity now at https://bank-security-center.ru to prevent account freeze.,Banking Phishing,1,0.86,HIGH
HR Global Recruiter: You have been shortlisted for Remote Data Entry role paying $65/hr. Pay registration fee $49 at http://claim-crypto-giveaway.net to get started.,Fake Job Offer,1,0.893,CRITICAL
"ALERT: An unauthorized transaction of $5079 was attempted on your account. If this was not you, cancel it now at https://bank-security-center.ru.",Banking Phishing,1,0.815,CRITICAL
HSBC Security: Unusual login from United States. Confirm your identity now at https://bank-security-center.ru to prevent account freeze.,Banking Phishing,1,0.9,CRITICAL
Immediate hiring for Amazon Product Reviewer. Daily payout $500. Message Telegram @CryptoProf_340 for instant onboarding.,Fake Job Offer,1,0.947,CRITICAL
Package Delivery Failed: USPS tracking #US63172006P is held at terminal due to unpaid duty fees of $2.30. Pay at http://secure-verify-auth2.xyz.,Delivery Phishing,1,0.777,CRITICAL
Your monthly bank statement for account ending in 7830 is now ready to view in the official mobile banking app.,Legitimate Banking,0,0.317,LOW
Your verification code for Microsoft is 478299. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.111,LOW
Your verification code for Google is 799449. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.104,LOW
"Congratulations! You've been whitelisted for the Exclusive Ethereum Airdrop. Claim your free $5,000 token grant at http://kyc-urgent-support.info.",Crypto Investment Scam,1,0.79,CRITICAL
Google Calendar: Standup meeting starts in 10 minutes (10:00 AM - 10:15 AM).,Legitimate Calendar,0,0.084,LOW
Amazon Notification: Your mobile number was selected for an iPhone 15 Pro giveaway. Claim within 10 minutes at http://claim-crypto-giveaway.net.,Lottery / Prize Fraud,1,0.83,HIGH
Netflix Member Alert: We could not process your latest payment. Update billing details at https://bank-security-center.ru to avoid service cancellation.,Subscription Phishing,1,0.819,HIGH
"Congratulations! You've been whitelisted for the Exclusive Ethereum Airdrop. Claim your free $5,000 token grant at http://claim-crypto-giveaway.net.",Crypto Investment Scam,1,0.895,CRITICAL
"ALERT: An unauthorized transaction of $909 was attempted on your account. If this was not you, cancel it now at http://usps-delivery-portal.cc.",Banking Phishing,1,0.75,HIGH
